Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Naive Bayes,0.9602791196994096,0.9524465885596141,0.945927446954141,0.9491758241758241,0.9937780376620688
Logistic Regression,0.9648416532474503,0.9567307692307693,0.9534565366187543,0.9550908467603703,0.9944999720473292
SVM,0.9691358024691358,0.9553450608930988,0.9664613278576317,0.960871044572984,0.9960601843667511
Decision Tree,0.8623188405797102,0.7724137931034483,0.919917864476386,0.8397375820056232,0.9130020715195526
Random Forest,0.9159957058507783,0.9889267461669506,0.7946611909650924,0.8812144212523719,0.989531498127171
